dat[, 2] - dat[, 1]	gene_symbols	ensg_ids
0.816023906613843	RP11-368I23.2	ENSG00000242268.2
0.277185287834857	C11orf84	ENSG00000168005.6
-0.386491975431492	RP11-742D12.2	ENSG00000270112.3
0.624042370810668	C12orf5	ENSG00000078237.5
0.737088100680981	MIR4802	ENSG00000263642.1
-0.607066794056213	NUP210P2	ENSG00000225275.4
-0.742809326241207	DNAH3	ENSG00000158486.11
-0.281605132323079	LINC01224	ENSG00000269416.3
-0.661166975247455	CREB3L3	ENSG00000060566.11
-0.649257041600288	CTD-2382E5.4	ENSG00000259883.1
0.0642136299362542	RPL7L1P12	ENSG00000231981.3
-0.0340652171793392	Y_RNA	ENSG00000201788.1
-0.111407320196797	RP11-597A11.11	ENSG00000273639.2
0.799206777673606	ARL8B	ENSG00000134108.10
-0.0290589922754617	CALB2	ENSG00000172137.16
1.89292951700532	MFSD3	ENSG00000167700.6
0.410384177176933	PIGV	ENSG00000060642.8
-0.300856438099511	DACH1	ENSG00000276644.2
-0.544511333904524	RP11-578F21.13	ENSG00000271616.1
-0.268158482095317	CHIAP1	ENSG00000236040.1
-0.446332523757423	ATF7IP2	ENSG00000166669.11
1.07890334673895	RC3H2	ENSG00000056586.13
1.50175207478524	ZNF708	ENSG00000182141.7
0.234184996639012	RP5-1071N3.1	ENSG00000231105.1
0.607812743613056	snoU2-30	ENSG00000201882.1
0.601159615268513	AP000892.6	ENSG00000280143.1
0.624835349438884	STAU1	ENSG00000124214.17
-0.716961848730911	RP11-697H9.5	ENSG00000271100.1
-1.02843133039668	RP11-434D2.10	ENSG00000264981.1
0.944104367053212	RP11-15J22.8	ENSG00000275265.1
1.21010386806288	GARNL3	ENSG00000136895.16
0.606884878120278	DNM3-IT1	ENSG00000233540.1
-0.592813357841976	RNA5SP75	ENSG00000252650.1
-0.733287976350868	MOGAT2	ENSG00000166391.12
1.69483616282223	AC108868.6	ENSG00000232001.1
0.364542851303284	BEND3P3	ENSG00000278616.1
-0.181383829268775	PFN2	ENSG00000070087.11
-0.0490124820642882	RPL36AP6	ENSG00000231293.1
0.511438978577994	CASC23	ENSG00000255420.1
-0.147901149940298	RP11-276H7.2	ENSG00000227959.1
-0.293295068730524	DNM1P41	ENSG00000280038.1
-0.0406825007827294	RP11-640I15.1	ENSG00000266261.1
1.28154186738059	RMND5A	ENSG00000153561.10
1.8328744432425	RAD23A	ENSG00000179262.7
-0.778961465830563	RP11-166A12.1	ENSG00000251538.3
0.479875586918765	RP11-162A23.5	ENSG00000227586.5
0.548901452846597	CTD-2582M21.1	ENSG00000251044.2
0.650565438817341	SIN3B	ENSG00000127511.7
0.230738244089763	OR2D2	ENSG00000166368.2
0.29699469861833	SERPINB11	ENSG00000206072.10
-0.0198448240525332	RP1-278O22.2	ENSG00000234900.1
-0.540036640096973	RP11-725G5.2	ENSG00000258630.1
0.565829262291126	RP11-121L11.3	ENSG00000249830.1
-0.556286280768591	LINC00705	ENSG00000225269.2
0.486196711076491	RPL7P17	ENSG00000214062.5
0.43777705874625	TLL2	ENSG00000095587.8
-0.832919946699763	AWAT2	ENSG00000147160.7
0.62968311202501	RP11-94L15.2	ENSG00000264198.2
1.33222273440527	TRABD2B	ENSG00000269113.3
0.587559324112594	HCG4P5	ENSG00000227766.1
-0.771606457728576	NTF3	ENSG00000185652.9
-0.346235010589247	MIR5004	ENSG00000264085.1
-0.146649735533213	IL32	ENSG00000008517.14
-0.288543178112741	RP11-927P21.2	ENSG00000266644.1
2.09812642904158	RP11-77P6.2	ENSG00000227896.2
0.563549131977328	PTPN4	ENSG00000088179.6
-0.225638622676646	PROKR2	ENSG00000101292.7
1.32609617375936	RP11-587H10.2	ENSG00000253634.1
0.612791760644232	COL15A1	ENSG00000204291.8
0.995353196993888	NUCB2	ENSG00000070081.13
-0.586465082155561	SERPINB12	ENSG00000166634.4
